Scan number,sl(mm),run time (hhh:mm:ss)
1,-129.90, 0: 0: 0 
2,-130.10, 2: 6: 0 
3,-130.50, 2: 7: 0 
4,-130.00, 10: 0: 0 
5,-130.20, 18: 1: 8 
7,-135.60, 34: 0: 38 
8,-151.70, 41: 59: 59 
9,-171.80, 49: 10: 44 
10,-200.30, 58: 0: 9 
11,-222.40, 66: 0: 26 
12,-236.00,74:00:46 
14,-239.60, 82: 1: 2 
15,-231.50, 90: 0: 45 
16,-213.20, 98: 0: 16 
17,-189.10, 106: 0: 29 
18,-164.20, 114: 0: 49 
19,-142.90, 120: 0: 0 
20,-131.60, 130: 0: 42 
21,-130.10, 134: 1: 1 
22,-129.80, 138: 0: 58 
23,-130.20, 144: 30: 17 
24,-155.10, 147: 0: 23 
25,-180.60, 148: 30: 29 
26,-183.70, 148: 30: 0 
27,-210.10, 150: 0: 31 
28,-239.80, 153: 1: 0 
29,-215.70, 156: 0: 5 
30,-160.60, 159: 0: 0 
31,-130.10, 162: 0: 18 
32,-129.20, 162: 0: 18 
33,-129.70, 162: 0: 18 
34,-129.80, 166: 0: 19 
35,-130.40, 171: 0: 35 
36,-130.10, 179: 18: 12 
37,-130.30, 187: 1: 35 
38,-130.00, 195: 0: 4 
39,-130.90,202:30:24 
40,-155.50, 205: 0: 20 
41,-182.30, 206: 30: 24 
42,-212.40, 208: 0: 24 
43,-221.80, 209: 31: 1 
44,-246.90, 211: 0: 9 
45,-244.00, 212: 30: 25 
46,-228.30, 214: 0: 23 
47,-204.60, 215: 30: 22 
48,-179.30, 217: 0: 17 
49,-157.60, 220: 0: 11 
50,-156.80, 220: 0: 12 
51,-190.30, 223: 0: 26 
52,-220.90, 224: 30: 41 
53,-254.30, 226: 1: 34 
54,-279.80, 227: 31: 0 
55,-294.30, 229: 0: 23 
56,-293.50, 230: 30: 25 
57,-279.40, 232: 0: 28 
58,-258.10, 233: 30: 27 
59,-233.90, 235: 0: 25 
60,-211.90, 238: 3: 35 
61,-244.50, 241: 0: 15 
62,-274.00, 242: 30: 27 
63,-306.00, 244: 0: 37 
64,-330.10, 245: 30: 17 
65,-342.00, 247: 0: 26 
66,-336.40, 248: 47: 59 
67,-322.10, 250: 0: 14 
68,-297.10, 251: 30: 18 
69,-269.50, 253: 0: 22 
70,-248.30, 254: 31: 17 
71,-240.20, 256: 0: 54 
72,-264.00, 259: 0: 24 
73,-289.20, 260: 30: 30 
74,-316.00, 262: 0: 34 
75,-335.70, 263: 30: 22 
76,-342.70, 265: 0: 27 
77,-334.60, 266: 30: 24 
78,-313.30, 268: 0: 20 
79,-283.60, 269: 30: 30 
80,-251.60, 271: 1: 16 
81,-213.30, 274: 0: 46 
82,-228.70, 277: 0: 24 
83,-250.90, 278: 30: 24 
84,-274.50, 280: 0: 32 
85,-290.80, 281: 30: 24 
86,-295.30, 283: 0: 28 
87,-285.50, 284: 30: 29 
88,-261.60, 286: 0: 30 
89,-230.70, 287: 30: 41 
90,-197.60, 289: 0: 19 
91,-158.20, 292: 0: 22 
92,-174.40, 295: 0: 19 
93,-197.20, 296: 30: 30 
94,-222.70, 298: 0: 23 
95,-241.00, 299: 30: 39 
96,-247.90, 301: 0: 24 
97,-239.80, 302: 30: 39 
98,-218.90, 304: 0: 17 
99,-191.40, 305: 30: 25 
100,-161.70, 307: 0: 29 
101,-129.80, 310: 1: 0 